Country Name,Country Code,Indicator Name,Emission Rate,,,
Slovak Republic,SVK,CO2 emissions (metric tons per capita),5.31905480792852,,,
Slovenia,SVN,CO2 emissions (metric tons per capita),5.93473517885826,,,
Sweden,SWE,CO2 emissions (metric tons per capita),3.24298914312747,,,
Eswatini,SWZ,CO2 emissions (metric tons per capita),0.972087527685903,,,
Sint Maarten (Dutch part),SXM,CO2 emissions (metric tons per capita),,,,
Seychelles,SYC,CO2 emissions (metric tons per capita),6.08051837257013,,,
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),1.21480248375323,,,
Turks and Caicos Islands,TCA,CO2 emissions (metric tons per capita),,,,
Chad,TCD,CO2 emissions (metric tons per capita),0.0942281870969025,,,
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (metric tons per capita),6.03116979498631,,,
Europe & Central Asia (IDA & IBRD countries),TEC,CO2 emissions (metric tons per capita),6.91356094749506,,,
Togo,TGO,CO2 emissions (metric tons per capita),0.286061843654428,,,
Thailand,THA,CO2 emissions (metric tons per capita),3.71425580600412,,,
Tajikistan,TJK,CO2 emissions (metric tons per capita),0.977533024275801,,,
Turkmenistan,TKM,CO2 emissions (metric tons per capita),10.1840862992321,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (metric tons per capita),2.22190600706842,,,
Timor-Leste,TLS,CO2 emissions (metric tons per capita),0.343155165981408,,,
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (metric tons per capita),3.36834375922243,,,
Tonga,TON,CO2 emissions (metric tons per capita),1.12204761814278,,,
South Asia (IDA & IBRD),TSA,CO2 emissions (metric tons per capita),1.33779148421422,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (metric tons per capita),0.660876172775718,,,
Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),10.1571191722541,,,
Tunisia,TUN,CO2 emissions (metric tons per capita),2.4086225282388,,,
Turkiye,TUR,CO2 emissions (metric tons per capita),4.84226692232433,,,
Tuvalu,TUV,CO2 emissions (metric tons per capita),0.596259824735748,,,
Tanzania,TZA,CO2 emissions (metric tons per capita),0.233945592120175,,,
Uganda,UGA,CO2 emissions (metric tons per capita),0.127793034826946,,,
Ukraine,UKR,CO2 emissions (metric tons per capita),3.75381618922792,,,
Upper middle income,UMC,CO2 emissions (metric tons per capita),5.92235226433117,,,
Uruguay,URY,CO2 emissions (metric tons per capita),1.89971905049917,,,
United States,USA,CO2 emissions (metric tons per capita),13.0328279519898,,,
Uzbekistan,UZB,CO2 emissions (metric tons per capita),3.37630378548758,,,
St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),2.100695771848,,,
"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),2.54502797831961,,,
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),,,,
Virgin Islands (U.S.),VIR,CO2 emissions (metric tons per capita),,,,
Vietnam,VNM,CO2 emissions (metric tons per capita),3.67644008813984,,,
Vanuatu,VUT,CO2 emissions (metric tons per capita),0.389174968317372,,,
World,WLD,CO2 emissions (metric tons per capita),4.29185309581619,,,
Samoa,WSM,CO2 emissions (metric tons per capita),0.960782397908146,,,
Kosovo,XKX,CO2 emissions (metric tons per capita),,,,
"Yemen, Rep.",YEM,CO2 emissions (metric tons per capita),0.308514614308256,,,
South Africa,ZAF,CO2 emissions (metric tons per capita),6.68756314737781,,,
Zambia,ZMB,CO2 emissions (metric tons per capita),0.40190271250386,,,
Zimbabwe,ZWE,CO2 emissions (metric tons per capita),0.530483547000938,,,
